id,product,unit,price,detail
4505,Eierlikörkuchen,Stück,"1,60",mit Alkohol
5001,Mohnstriezel,Stück,"1,50",
5002,Butterkuchen,Stück,"2,10",
5003,"Käsekuchen hoch, rund",Stück,"2,40",
5004,"Käsemandarinenkuchen, Blech",Stück,"2,20",
5005,Käsekuchen mit Johannisbeeren,Stück,"2,20",
5006,Käsekuchen mit Butterguss,Stück,"2,20",
5007,Russischer Zupfkuchen,Stück,"2,20",
5008,Walnusskarottenkuchen,Stück,"2,60",
5009,Himbeerkuchen,Stück,"2,20",
5010,Erdbeerkuchen,Stück,"2,40",
5011,gemischter Obstkuchen,Stück,"2,20",
5012,Schokokirschkuchen,Stück,"2,20","mit Alkohol, mit Fettglasur"
5013,Donauwelle,Stück,"2,40","mit Alkohol, mit Fettglasur"
5014,Frankfurther Kranz,Stück,"2,40",mit Alkohol
6044,Schokobutterkremkranz mit Kirschen,Stück,"2,60",mit Alkohol
5015,Kirschjoghurtkuchen,Stück,"2,20",
5016,Rhabarberkuchen,Stück,"2,20",
5017,Kokosaprikosenkuchen,Stück,"2,30",
5018,Hawaikuchen,Stück,"2,10",
5019,Aprikosennußkuchen,Stück,"2,30",
5020,Apfelkuchen gedeckt,Stück,"2,30",
5021,Apfelkuchen mit Makronengitter,Stück,"2,50",
5022,Apfelkuchen auf Hefeteig,Stück,"2,30",
5023,Kirschkuchen auf Hefeteig,Stück,"2,30",
5024,Zwetschgenkuchen auf Hefeteig,Stück,"2,30",
5028,Aprikosenkuchen auf Hefeteig,Stück,"2,30",
5025,Apfelweinkuchen,Stück,"2,50",mit alk. Verbacken
5026,Apfelschlupfkuchen,Stück,"1,90",
5027,Kirschschlupfkuchen,Stück,"1,90",
5030,Beerenkuchen,Stück,"2,20",
5031,Aprikosen-Käse-Mohnkuchen,Stück,"2,40",
5032,Amarettokirschkuchen,Stück,"2,50",mit Alk. Verbacken
5033,Rhabarber käse kuchen,Stück,"2,20",
5034,Heidelbeerkuchen,Stück,"2,20",
5035,Mohnschnitten auf Hefeteig,Stück,"2,30",
5036,Feuerwehrkuchen,Stück,"2,50",
6001,Zitronenrolle,Stück,"2,10",ggf. mit Fettglasur
6002,Himbeerrolle,Stück,"2,10",ggf. mit Fettglasur
6003,Erdbeerrolle,Stück,"2,10",ggf. mit Fettglasur
6004,Cappuccinosahnerolle,Stück,"2,10",ggf. mit Fettglasur
6005,Mandarinensahnerolle,Stück,"2,10",ggf. mit Fettglasur
6006,Bienenstich,Stück,"2,30",
6007,Schlotfeger,Stück,"1,30",
6008,Windbeutel,Stück,"2,40",
6009,Sahneschnitten jede Sorte,Stück,"2,60",
6010,Eierlikörschokoschnitten,Stück,"2,60",mit Alkohol
6011,Käsesahneschnitten mit Pfirsichen,Stück,"2,60",
6012,Erdbeersahneschnitten,Stück,"2,60",
6013,Himbeersahneschnitten,Stück,"2,60",
6014,Erdbeerjoghurtschnitten,Stück,"2,60",
6015,Erdbeerschokoschnitten,Stück,"2,60",
6016,Joghurtfruchtschnitten,Stück,"2,60",
6017,Ananassahneschnitten,Stück,"2,60",
6018,Mandarinensahneschnitten gestürzt,Stück,"2,60",
6019,Nußschokoschnitten,Stück,"2,60",
6020,Amarettonußschnitte,Stück,"2,60",mit Alkohol
6021,Schwarzwälder Kirschschnitte,Stück,"2,80",mit Alkohol
6022,Schokokremtorte,Stück,"2,60",mit Alkohol
